videos/n01882714/koala_1.mp4 ,same top five predictions ,1 ,same top one prediction ,1
videos/n01882714/koala_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n01882714/koala_1.mp4 ,same top five predictions ,1 ,same top one prediction ,1
videos/n01882714/koala_1.mp4 ,same top five predictions ,1 ,same top one prediction ,1
videos/n01882714/koala_1.mp4 ,same top five predictions ,1 ,same top one prediction ,1
videos/n01882714/koala_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n01882714/koala_1.mp4 ,same top five predictions ,1 ,same top one prediction ,1
videos/n01882714/koala_1.mp4 ,same top five predictions ,1 ,same top one prediction ,1
videos/n01882714/koala_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n01882714/koala_1.mp4 ,same top five predictions ,1 ,same top one prediction ,1
videos/n01882714/koala_1.mp4 ,same top five predictions ,1 ,same top one prediction ,1
videos/n01882714/koala_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,0
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,0
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,0
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,0
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,0
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,0
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,0
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,0
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,0
videos/n02510455/panda_1.mp4 ,same top five predictions ,0 ,same top one prediction ,1
